id,attribute_id,value
1,28,lila
2,28,gelb
3,28,natur
4,28,schwarz
5,28,grün
6,28,silberfarben
7,28,transparent
8,28,grau
9,28,blau
10,28,braun
11,28,orange
12,28,weiß
13,28,goldfarben
14,28,rot
15,28,bunt
16,28,rosa
17,31,3 Jahre auf die Beschichtung
18,31,3 Jahre nach Registrierung über die Website
19,32,"0,25"
20,32,"0,5"
21,32,"0,75"
22,32,1
23,32,"1,5"
24,32,10
25,32,11
26,32,12
27,32,13
28,32,14
29,32,15
30,32,16
31,32,17
32,32,18
33,32,19
34,32,2
35,32,"2,5"
36,32,20
37,32,21
38,32,22
39,32,23
40,32,24
41,32,25
42,32,26
43,32,27
44,32,28
45,32,29
46,32,3
47,32,30
48,32,4
49,32,5
50,32,6
51,32,7
52,32,8
53,32,9
54,36,BDIH-Kontrollierte Naturkosmetik
55,36,Bio-Baumwolle
56,36,Bio-Baumwolle in Umstellung
57,36,Bioland
58,36,Blauer Engel
59,36,bluesign® PRODUCT
60,36,CertiPUR
61,36,circular.fashion Designkriterien
62,36,Cotton made in Africa INSIDE
63,36,Cradle to Cradle Certified™ BRONZE
64,36,Cradle to Cradle Certified™ GOLD
65,36,Cradle to Cradle Certified™ PLATINUM
66,36,Cradle to Cradle Certified™ SILVER
67,36,Daunen/Federn aus artgerechter Tierhaltung
68,36,Downpass
69,36,ECOCERT
70,36,EU-Bio-Logo
71,36,EU Ecolabel
72,36,Fairtrade Cotton
73,36,Global Recycled Standard
74,36,GoodWeave™
75,36,GOTS made with organic materials
76,36,GOTS made with organic materials (in Umstellung)
77,36,GOTS organic
78,36,GOTS organic (in Umstellung)
79,36,Grüner Knopf
80,36,GUT-Prodis-Label®
81,36,Leather Working Group
82,36,LENZING™ ECOVERO™
83,36,MADE IN GREEN by OEKO-TEX®
84,36,NATRUE
85,36,Naturland
86,36,NATURLEDER IVN zertifiziert BEST
87,36,NATURTEXTIL IVN zertifiziert BEST
88,36,Nordic Swan Ecolabel
89,36,OCS 100 (in Umstellung)
90,36,OCS blended (in Umstellung)
91,36,OEKO-TEX® ORGANIC COTTON
92,36,Organic Content Standard 100
93,36,Organic Content Standard blended
94,36,Recycelter Kunststoff (Hartwaren)
95,36,Recyceltes Material
96,36,Recycled Claim Standard 100
97,36,Recycled Claim Standard blended
98,36,Regenerativ angebaute Materialien
99,36,Regenerative Cotton Standard®
100,36,Responsible Down Standard
101,36,Responsible Wool Standard
102,36,Schnell nachwachsende Rohstoffe
103,36,Spinnova
104,36,TENCEL™ Lyocell
105,36,TENCEL™ Modal
106,36,TENCEL™ x REFIBRA™ Technologie
107,36,The Good Cashmere Standard®
108,36,Unterstützt Cotton made in Africa
109,36,Viskose aus verbesserter Rohstoffbeschaffung
110,36,Wolle aus artgerechter Tierhaltung
111,37,Elektrofahrzeugbatterie
112,37,Gerätebatterie
113,37,Industriebatterie
114,37,LV-Batterie
115,37,Produkt fällt nicht unter die BattVO.
116,37,Starterbatterie
117,39,Wärmeüberträger für die ausschließliche Nutzung in anderen als privaten Haushalten.
118,39,Große Photovoltaikmodule für die ausschließliche Nutzung in anderen als privaten Haushalten.
119,39,Kleine Photovoltaikmodule für die ausschließliche Nutzung in anderen als privaten Haushalten.
120,39,Großgeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
121,39,Bildschirmgeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
122,39,"Großgeräte, die in privaten Haushalten genutzt werden können."
123,39,"Kleingeräte, die in privaten Haushalten genutzt werden können."
124,39,"Kleine Photovoltaikmodule, die in privaten Haushalten genutzt werden können."
125,39,"Lampen, außer Gasentladungslampen, die in privaten Haushalten genutzt werden können."
126,39,"Wärmeüberträger, die in privaten Haushalten genutzt werden können."
127,39,Produkt fällt nicht unter das ElektroG.
128,39,Kleingeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
129,39,"Gasentladungslampen, die in privaten Haushalten genutzt werden können."
130,39,"Große Photovoltaikmodule, die in privaten Haushalten genutzt werden können."
131,39,"Kleine Geräte der Informations- und Telekommunikationstechnik, die in privaten Haushalten genutzt werden können."
132,39,Kleine Geräte der Informations- und Telekommunikationstechnik für die ausschließliche Nutzung in anderen als privaten Haushalten.
133,39,"Bildschirmgeräte, die in privaten Haushalten genutzt werden können."
134,39,Lampen für die ausschließliche Nutzung in anderen als privaten Haushalten.
135,42,Produkt fällt nicht unter die Gefahrgutvorschriften.
136,42,Produkt fällt unter die Gefahrgutvorschriften.
137,72,lila
138,72,gelb
139,72,natur
140,72,schwarz
141,72,grün
142,72,silberfarben
143,72,transparent
144,72,grau
145,72,blau
146,72,braun
147,72,orange
148,72,weiß
149,72,goldfarben
150,72,rot
151,72,bunt
152,72,rosa
153,94,3 Jahre auf die Beschichtung
154,94,3 Jahre nach Registrierung über die Website
155,95,"0,25"
156,95,"0,5"
157,95,"0,75"
158,95,1
159,95,"1,5"
160,95,10
161,95,11
162,95,12
163,95,13
164,95,14
165,95,15
166,95,16
167,95,17
168,95,18
169,95,19
170,95,2
171,95,"2,5"
172,95,20
173,95,21
174,95,22
175,95,23
176,95,24
177,95,25
178,95,26
179,95,27
180,95,28
181,95,29
182,95,3
183,95,30
184,95,4
185,95,5
186,95,6
187,95,7
188,95,8
189,95,9
190,101,BDIH-Kontrollierte Naturkosmetik
191,101,Bio-Baumwolle
192,101,Bio-Baumwolle in Umstellung
193,101,Bioland
194,101,Blauer Engel
195,101,bluesign® PRODUCT
196,101,CertiPUR
197,101,circular.fashion Designkriterien
198,101,Cotton made in Africa INSIDE
199,101,Cradle to Cradle Certified™ BRONZE
200,101,Cradle to Cradle Certified™ GOLD
201,101,Cradle to Cradle Certified™ PLATINUM
202,101,Cradle to Cradle Certified™ SILVER
203,101,Daunen/Federn aus artgerechter Tierhaltung
204,101,Downpass
205,101,ECOCERT
206,101,EU-Bio-Logo
207,101,EU Ecolabel
208,101,Fairtrade Cotton
209,101,Global Recycled Standard
210,101,GoodWeave™
211,101,GOTS made with organic materials
212,101,GOTS made with organic materials (in Umstellung)
213,101,GOTS organic
214,101,GOTS organic (in Umstellung)
215,101,Grüner Knopf
216,101,GUT-Prodis-Label®
217,101,Leather Working Group
218,101,LENZING™ ECOVERO™
219,101,MADE IN GREEN by OEKO-TEX®
220,101,NATRUE
221,101,Naturland
222,101,NATURLEDER IVN zertifiziert BEST
223,101,NATURTEXTIL IVN zertifiziert BEST
224,101,Nordic Swan Ecolabel
225,101,OCS 100 (in Umstellung)
226,101,OCS blended (in Umstellung)
227,101,OEKO-TEX® ORGANIC COTTON
228,101,Organic Content Standard 100
229,101,Organic Content Standard blended
230,101,Recycelter Kunststoff (Hartwaren)
231,101,Recyceltes Material
232,101,Recycled Claim Standard 100
233,101,Recycled Claim Standard blended
234,101,Regenerativ angebaute Materialien
235,101,Regenerative Cotton Standard®
236,101,Responsible Down Standard
237,101,Responsible Wool Standard
238,101,Schnell nachwachsende Rohstoffe
239,101,Spinnova
240,101,TENCEL™ Lyocell
241,101,TENCEL™ Modal
242,101,TENCEL™ x REFIBRA™ Technologie
243,101,The Good Cashmere Standard®
244,101,Unterstützt Cotton made in Africa
245,101,Viskose aus verbesserter Rohstoffbeschaffung
246,101,Wolle aus artgerechter Tierhaltung
247,102,Wärmeüberträger für die ausschließliche Nutzung in anderen als privaten Haushalten.
248,102,Große Photovoltaikmodule für die ausschließliche Nutzung in anderen als privaten Haushalten.
249,102,Kleine Photovoltaikmodule für die ausschließliche Nutzung in anderen als privaten Haushalten.
250,102,Großgeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
251,102,Bildschirmgeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
252,102,"Großgeräte, die in privaten Haushalten genutzt werden können."
253,102,"Kleingeräte, die in privaten Haushalten genutzt werden können."
254,102,"Kleine Photovoltaikmodule, die in privaten Haushalten genutzt werden können."
255,102,"Lampen, außer Gasentladungslampen, die in privaten Haushalten genutzt werden können."
256,102,"Wärmeüberträger, die in privaten Haushalten genutzt werden können."
257,102,Produkt fällt nicht unter das ElektroG.
258,102,Kleingeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
259,102,"Gasentladungslampen, die in privaten Haushalten genutzt werden können."
260,102,"Große Photovoltaikmodule, die in privaten Haushalten genutzt werden können."
261,102,"Kleine Geräte der Informations- und Telekommunikationstechnik, die in privaten Haushalten genutzt werden können."
262,102,Kleine Geräte der Informations- und Telekommunikationstechnik für die ausschließliche Nutzung in anderen als privaten Haushalten.
263,102,"Bildschirmgeräte, die in privaten Haushalten genutzt werden können."
264,102,Lampen für die ausschließliche Nutzung in anderen als privaten Haushalten.
265,104,Produkt fällt nicht unter die Gefahrgutvorschriften.
266,104,Produkt fällt unter die Gefahrgutvorschriften.
267,124,lila
268,124,gelb
269,124,natur
270,124,schwarz
271,124,grün
272,124,silberfarben
273,124,transparent
274,124,grau
275,124,blau
276,124,braun
277,124,orange
278,124,weiß
279,124,goldfarben
280,124,rot
281,124,bunt
282,124,rosa
283,127,3 Jahre auf die Beschichtung
284,127,3 Jahre nach Registrierung über die Website
285,128,"0,25"
286,128,"0,5"
287,128,"0,75"
288,128,1
289,128,"1,5"
290,128,10
291,128,11
292,128,12
293,128,13
294,128,14
295,128,15
296,128,16
297,128,17
298,128,18
299,128,19
300,128,2
301,128,"2,5"
302,128,20
303,128,21
304,128,22
305,128,23
306,128,24
307,128,25
308,128,26
309,128,27
310,128,28
311,128,29
312,128,3
313,128,30
314,128,4
315,128,5
316,128,6
317,128,7
318,128,8
319,128,9
320,132,BDIH-Kontrollierte Naturkosmetik
321,132,Bio-Baumwolle
322,132,Bio-Baumwolle in Umstellung
323,132,Bioland
324,132,Blauer Engel
325,132,bluesign® PRODUCT
326,132,CertiPUR
327,132,circular.fashion Designkriterien
328,132,Cotton made in Africa INSIDE
329,132,Cradle to Cradle Certified™ BRONZE
330,132,Cradle to Cradle Certified™ GOLD
331,132,Cradle to Cradle Certified™ PLATINUM
332,132,Cradle to Cradle Certified™ SILVER
333,132,Daunen/Federn aus artgerechter Tierhaltung
334,132,Downpass
335,132,ECOCERT
336,132,EU-Bio-Logo
337,132,EU Ecolabel
338,132,Fairtrade Cotton
339,132,Global Recycled Standard
340,132,GoodWeave™
341,132,GOTS made with organic materials
342,132,GOTS made with organic materials (in Umstellung)
343,132,GOTS organic
344,132,GOTS organic (in Umstellung)
345,132,Grüner Knopf
346,132,GUT-Prodis-Label®
347,132,Leather Working Group
348,132,LENZING™ ECOVERO™
349,132,MADE IN GREEN by OEKO-TEX®
350,132,NATRUE
351,132,Naturland
352,132,NATURLEDER IVN zertifiziert BEST
353,132,NATURTEXTIL IVN zertifiziert BEST
354,132,Nordic Swan Ecolabel
355,132,OCS 100 (in Umstellung)
356,132,OCS blended (in Umstellung)
357,132,OEKO-TEX® ORGANIC COTTON
358,132,Organic Content Standard 100
359,132,Organic Content Standard blended
360,132,Recycelter Kunststoff (Hartwaren)
361,132,Recyceltes Material
362,132,Recycled Claim Standard 100
363,132,Recycled Claim Standard blended
364,132,Regenerativ angebaute Materialien
365,132,Regenerative Cotton Standard®
366,132,Responsible Down Standard
367,132,Responsible Wool Standard
368,132,Schnell nachwachsende Rohstoffe
369,132,Spinnova
370,132,TENCEL™ Lyocell
371,132,TENCEL™ Modal
372,132,TENCEL™ x REFIBRA™ Technologie
373,132,The Good Cashmere Standard®
374,132,Unterstützt Cotton made in Africa
375,132,Viskose aus verbesserter Rohstoffbeschaffung
376,132,Wolle aus artgerechter Tierhaltung
377,133,Elektrofahrzeugbatterie
378,133,Gerätebatterie
379,133,Industriebatterie
380,133,LV-Batterie
381,133,Produkt fällt nicht unter die BattVO.
382,133,Starterbatterie
383,135,Wärmeüberträger für die ausschließliche Nutzung in anderen als privaten Haushalten.
384,135,Große Photovoltaikmodule für die ausschließliche Nutzung in anderen als privaten Haushalten.
385,135,Kleine Photovoltaikmodule für die ausschließliche Nutzung in anderen als privaten Haushalten.
386,135,Großgeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
387,135,Bildschirmgeräte für die ausschließliche Nutzung in anderen als privaten Haushalten.
388,135,"Großgeräte, die in privaten Haushalten genutzt werden können."
389,135,"Kleingeräte, die in privaten Haushalten genutzt werden können."
390,135,"Kleine Photovoltaikmodule, die in privaten Haushalten genutzt werden können."
391,135,"Lampen, außer Gasentladungslampen, die in privaten Haushalten genutzt werden können."
392,135,"Wärmeüberträger, die in privaten Haushalten genutzt werden können."
393,135,Produkt fällt nicht unter das ElektroG.
