id,group_id,name,type,description,multi_value,relevance,unit
1,1,Art Stromversorgung,STRING,"",t,HIGH,""
2,1,Anzahl Akkus,INTEGER,Bitte die Stückzahl der verbauten oder beigelegten Akkus eintragen. Diese Angabe wird für die Gefahrstoff-Logistik und zur Kundeninformation benötigt.,f,LOW,St.
3,1,Anzahl Batterien,INTEGER,Bitte die Stückzahl der verbauten oder beigelegten Batterien eintragen. Diese Angabe wird für die Gefahrstoff-Logistik und zur Kundeninformation benötigt.,f,LOW,St.
4,1,Akkukapazität,FLOAT,"Die Kapazität der verbauten Akkus wird nicht nur zur Information der Kunden benötigt, sondern ist auch in der Logistik von Gefahrstoffen (dazu gehören auch Akkus) eine wichtige Information.",f,LOW,mAh
5,1,Anzahl Batterien / Akkus,INTEGER,"",f,LOW,""
6,1,Batterie-/Akku-Technologie,STRING,Die Bauart der Akkus und ihre chemische Zusammensetzung sind wichtige Informationen in der Logistik für Gefahrstoffe. Auch als Kundeninformation wichtig.,t,LOW,""
7,1,Kabellänge,FLOAT,Länge des Stromkabels,f,LOW,m
8,1,Spannung,STRING,Bei Stromversorgung über Stromkabel,t,LOW,V
9,1,Leistung Akku,FLOAT,"Leistung des Akkus, Information für Kunden. Siehe auch Merkmal ""Spannung Akku"".",f,LOW,Wh
10,1,Spannung Akku,FLOAT,"Spannung des Akkus in Volt. Relevant als Kundeninformation. Beachten Sie: Wird das Merkmal „Spannung Akku“ gewählt, muss auch die „Leistung Akku“ angegeben werden. Hierdurch ist eine Berechnung der Akkukapazität möglich.",t,LOW,V
11,1,Typ Netzstecker,STRING,Wählen Sie den am Produkt verwendeten Netzstecker aus der Liste aus. Diese Information wird zur Einsatzsteuerung und Kundeninformation verwendet.,f,LOW,""
12,1,Lieferzustand Batterien / Akkus,STRING,"Geben sie bitte an, ob sich Akkus oder Batteries im Gerät oder in der Verpackung befinden bzw. diese festverbaut sind.",t,LOW,""
13,1,Reichweite,FLOAT,"",f,LOW,m
14,1,Wiederholungsrate,INTEGER,"",t,LOW,Hz
15,1,Anzahl Teile,INTEGER,"Besteht die bestellbare Einheit aus mehr als einem Teil, können Sie hier die Anzahl der Teile angeben.",f,LOW,St.
16,1,Besondere Merkmale,STRING,"Besonders hervorzuhebende bzw. verkaufsfördernde Eigenschaften Ihres Artikels. Diese kurze Stichwortangabe wird bei der automatischen Zusammensetzung der Artikelkurzbeschreibung (Überschrift) verwendet. Beispiele: ""mit Flockprint"", ""mit 2 unterschiedlich festen Liegeseiten"", ""nur Gehäuse""",f,HIGH,""
17,1,Set-Info,STRING,Zur Anzeige in der Kurzbezeichnung. Bitte kurz halten!,f,HIGH,""
