id,name,group_id
1,Videobrille,1
2,3D-Brille,1
3,3D-Drucker,2
4,3D-Drucker-Stift,3
5,Akku-Meißelhammer,4
6,Abbruchhammer,4
7,Druckluft-Meißelhammer,4
8,Treppenstufen-Seitenblende,5
9,Waschtisch-Halbsäule,5
10,Spülkasten-Abdeckblende,5
11,Wärmepumpen-Verkleidung,5
12,Verblendungssatz,5
13,Gurtwickler-Abdeckplatte,5
14,Heizungsverkleidung,5
15,Hochbeet-Verkleidung,5
16,Griffleiste,5
17,Fenster-Set Erweiterung,5
18,Abdeckboden,5
19,Blende,5
20,Siphonverkleidung,5
21,Ofen-Frontblende,5
22,Rasenmähroboter-Cover,5
23,Klimaanlagen-Verkleidung,5
24,Kanalverlängerung,5
25,Wärmepumpen-Schutzdach,5
26,Briefeinwurfblende,5
27,Ladekantenschutz,5
28,Ofen-Seitenblende,5
29,Ofen-Topplatte,5
30,Abdeckungsheber,6
31,Abfallzerkleinerer,7
32,Abheftstreifen,8
33,Abisoliermaschine,9
34,Zusatzklapptisch,10
35,Laufband-Ablage,10
36,Einhängetritt,10
37,Strandkorb-Zusatztisch,10
38,Heizstrahler-Anbautisch,10
39,Feuerstellen-Anbautisch,10
40,Sonnenschirm-Anbautisch,10
41,Ablaichkasten,11
42,Terrassenablauf,12
43,Haus- und Hofablauf,12
44,Ab- und Überlaufgarnitur,12
45,Duschablauf,12
46,Ablaufventil,12
47,Bodenablauf,12
48,Anschlussgarnitur,12
49,Siebventil,12
50,Anschluss-Set,12
51,Ab-Überlaufgarnitur,12
52,Balkon- und Terrassenablauf,12
53,Schaftventil,12
54,Absauganlage,13
55,Staubabsauger,13
56,Absaugstation,13
57,Nagelstaubsauger,13
58,Golftee,14
59,Abdeckkappe,15
60,Pavillonhaube,15
61,Radmarkierer,15
62,Ventilkappe,15
63,Griffkappe,15
64,Endkappe,15
65,Blinddeckel,15
66,Absperrband,16
67,Absperrgitter,16
68,Absperrkordel,16
69,Absperrständer,16
70,Gurtbandkassette,16
71,Leitbake,16
72,Leitkegel-Teleskopstange,16
73,Scherengitter,16
74,Schrankenzaun,16
75,Absperrventil,17
76,Füllventil,17
77,4-Wege-Ventil,17
78,Bewässerungsventil,17
79,Regulierventil,17
80,Thermostatventil,17
81,Kugelhahn,17
82,Auslaufventil,17
83,Entwässerungsventil,17
84,Bypass-Set,17
85,2-Wege-Ventil,17
86,Absperrschieber,17
87,Durchflussschalter,17
88,Eckventil,17
89,Rückschlagventil,17
90,UP-Ventil-Oberbau,17
91,Verschlussstopfen,17
92,UP-Ventil-Unterteil,17
93,3-Wege-Ventil,17
94,Umsteller,17
95,Geräteventil,17
96,Stereo-CD Player,18
97,DVD-Player,18
98,Kassetten Player,18
99,Portabler DVD-Player,18
100,Fitness Media Player,18
101,Blu-ray-Rekorder,18
102,DJ-CD-Player,18
103,Blu-ray-Player,18
104,DVD-Rekorder,18
105,CD-Player,18
106,Kompaktanlage,18
107,Abstandshalter,19
108,Fugenkreuz,19
109,Fliesenkreuz,19
110,Verputzhaken,19
111,Distanzplatte,19
112,Nivelliersystem,19
113,Lackierspitzen,19
114,Distanzhülse,19
115,Anhänger-Abstellstütze,20
116,Ausdrehstützen,20
117,Abstreifgitter,21
118,Schleppnetz,22
119,Kettenpeitsche,23
120,Radnabenabzieher,23
121,Kurbelabzieher,23
122,Kassettenabzieher,23
123,Kugelgelenkabzieher,23
124,Wischerarmabzieher,23
125,Zahnkranzabzieher,23
126,Achse,24
127,USB-Adapter,25
128,Elektro-Adapter,25
129,Audio-Adapter,25
130,Ringblitz-Adapter,25
131,Laptop-Adapter,25
132,Modulkarte,25
133,Notebook-Adapter,25
134,Netzwerk-Adapter,25
135,Computer-Adapter,25
136,Entriegelung,25
137,Smartphone-Adapter,25
138,Stromadapter,25
139,Auto-Adapter,25
140,Video-Adapter,25
141,KFZ-Transmitter,25
142,KFZ-Adapter,25
143,Objektiv-Adapter,25
144,Einhandzwingen-Adapter,25
