id,group_id,attribute_id
1,1,2
2,1,3
3,1,5
4,1,7
5,1,15
6,1,19
7,1,21
8,1,22
9,1,24
10,1,25
11,1,26
12,1,27
13,2,44
14,2,61
15,2,69
16,2,73
17,2,74
18,2,75
19,2,84
20,3,106
21,3,109
22,3,114
23,3,115
24,3,117
25,3,118
26,3,120
27,3,121
28,3,122
29,3,123
30,3,139
31,4,146
32,4,147
33,4,151
34,4,152
35,4,158
36,4,159
37,4,160
38,4,178
39,4,181
40,4,187
41,5,210
42,5,214
43,5,215
44,5,216
45,5,217
46,5,219
47,5,220
48,5,221
49,6,244
50,6,251
51,6,252
52,6,253
53,6,256
54,6,257
55,6,258
56,6,265
57,6,266
58,6,274
59,6,276
60,7,304
61,7,310
62,7,314
63,7,315
64,7,320
65,7,321
66,7,329
67,7,330
68,7,336
69,8,353
70,8,354
71,8,355
72,8,356
73,8,359
74,8,360
75,8,361
76,9,373
77,9,374
78,9,390
79,9,392
80,9,399
81,9,400
82,9,401
83,9,403
84,9,415
85,9,418
86,10,423
87,10,424
88,10,425
89,10,430
90,10,444
91,10,445
92,10,446
93,10,447
94,11,453
95,11,455
96,11,456
97,11,464
98,11,467
99,12,477
100,12,478
101,12,479
102,12,486
103,12,487
104,12,489
105,12,494
106,12,495
107,13,509
108,13,517
109,13,521
110,13,522
111,13,526
112,13,527
113,13,528
114,13,541
115,13,553
116,13,555
117,13,556
118,14,582
119,14,583
120,14,585
121,14,592
122,15,600
123,15,604
124,15,610
125,15,611
126,15,612
127,15,614
128,15,615
129,15,616
130,15,617
131,16,631
132,16,635
133,16,644
134,16,645
135,16,646
136,16,650
137,16,666
138,17,669
139,17,672
140,17,676
141,17,683
142,17,684
143,17,685
144,17,691
145,17,692
146,17,694
147,17,698
148,18,736
149,18,747
150,18,788
151,18,792
152,18,794
153,18,795
154,18,796
155,18,798
156,19,820
157,19,828
158,19,829
159,19,836
160,19,837
161,20,852
162,20,853
163,20,858
164,20,864
165,20,865
166,20,866
167,20,868
168,20,869
169,20,870
170,20,871
171,20,872
172,21,888
173,21,894
174,21,895
175,21,896
176,21,898
177,21,899
178,22,908
179,22,915
180,22,916
181,22,920
182,23,936
183,23,941
184,23,943
185,23,944
186,23,945
187,23,946
188,23,947
189,24,955
190,24,956
191,24,959
192,24,965
193,24,966
194,24,967
195,24,969
196,25,980
197,25,982
198,25,989
199,25,990
200,25,991
201,25,992
202,25,993
203,25,995
204,25,1005
205,25,1007
206,26,1025
207,26,1039
208,27,1048
209,27,1055
210,27,1056
211,27,1057
212,27,1059
213,27,1060
214,27,1120
215,27,1129
216,27,1130
217,27,1146
218,27,1180
219,27,1181
220,28,1191
221,28,1193
222,28,1201
223,28,1208
224,28,1228
225,28,1239
226,28,1241
227,28,1242
228,28,1243
229,28,1244
230,28,1247
231,29,1299
232,29,1306
233,29,1312
234,29,1313
235,29,1314
236,29,1337
237,29,1338
238,29,1367
239,29,1380
240,30,1394
241,30,1410
242,30,1418
243,30,1419
244,30,1420
245,30,1430
246,30,1431
247,30,1435
248,31,1449
249,31,1450
250,31,1452
251,31,1453
252,31,1454
253,31,1455
254,31,1462
255,32,1469
256,32,1470
257,32,1472
258,32,1481
259,32,1486
260,32,1487
261,32,1488
262,32,1496
263,32,1504
264,33,1530
265,33,1536
266,33,1541
267,33,1542
268,33,1543
269,33,1552
270,33,1562
271,33,1563
272,34,1588
273,34,1597
274,34,1598
275,34,1599
276,34,1601
277,34,1615
278,35,1624
279,35,1626
280,35,1632
281,35,1633
282,35,1635
283,35,1636
284,35,1637
285,36,1653
286,36,1659
287,36,1660
288,36,1661
289,36,1663
290,36,1664
291,36,1665
292,37,1685
293,37,1686
294,37,1693
295,37,1700
296,37,1701
297,38,1721
298,38,1722
299,38,1728
300,38,1729
301,38,1730
302,38,1733
303,38,1734
304,39,1749
305,39,1756
306,39,1757
307,39,1758
308,39,1759
309,40,1772
310,40,1773
311,40,1774
312,40,1775
313,40,1784
314,40,1785
315,40,1792
316,41,1795
317,41,1803
318,41,1804
319,41,1809
320,41,1813
321,41,1817
322,42,1821
323,42,1828
324,42,1834
325,42,1835
326,42,1836
327,42,1841
328,42,1842
329,42,1853
330,43,1868
331,43,1871
332,43,1880
333,43,1898
334,43,1908
335,43,1909
336,44,1922
337,44,1928
338,44,1942
339,44,1952
340,44,1953
341,45,1959
